step,aux_mel_loss,mel_loss,batch_size,lr,val_loss
357,0.043,0.1395,1,0.0006,
358,0.0423,0.51056,1,0.0006,
359,0.04045,1.10487,1,0.0006,
360,0.04064,0.12533,1,0.0006,
361,0.03945,0.09894,1,0.0006,
362,0.04037,0.11692,1,0.0006,
363,0.03845,0.08562,1,0.0006,
364,0.03555,1.01243,1,0.0006,
365,0.04412,0.11431,1,0.0006,
366,0.04353,0.11224,1,0.0006,
367,0.04074,0.08669,1,0.0006,
368,0.04115,0.10018,1,0.0006,
369,0.03785,0.28379,1,0.0006,
370,0.04128,0.09047,1,0.0006,
371,0.03784,0.0925,1,0.0006,
372,0.04304,0.14388,1,0.0006,
373,0.03965,0.35631,1,0.0006,
374,0.04146,0.1078,1,0.0006,
375,0.04454,0.09166,1,0.0006,
376,0.04577,0.1459,1,0.0006,
377,0.04573,0.12397,1,0.0006,
378,0.04554,0.38796,1,0.0006,
379,0.04429,0.10849,1,0.0006,
380,0.04434,0.09243,1,0.0006,
381,0.04034,0.13775,1,0.0006,
382,0.03931,0.10111,1,0.0006,
383,0.05104,1.10319,1,0.0006,
384,0.04642,0.08956,1,0.0006,
385,0.0423,1.03442,1,0.0006,
386,0.0442,0.0905,1,0.0006,
387,0.0425,0.68389,1,0.0006,
388,0.04096,0.10337,1,0.0006,
389,0.04401,0.15979,1,0.0006,
390,0.04838,0.34109,2,0.0006,
391,0.04725,0.28566,2,0.0006,
392,0.04021,0.17861,2,0.0006,
393,0.04113,0.23783,2,0.0006,
394,0.04273,0.11571,2,0.0006,
395,0.03977,0.21277,2,0.0006,
396,0.04671,0.21583,2,0.0006,
397,0.04144,0.09727,2,0.0006,
398,0.04081,0.11567,2,0.0006,
399,0.04397,0.35295,2,0.0006,
400,0.04654,0.53683,2,0.0006,
401,0.04148,0.55176,2,0.0006,
402,0.04118,0.2994,2,0.0006,
403,0.03784,0.16454,2,0.0006,
404,0.04108,0.09255,2,0.0006,
405,0.03815,0.08872,2,0.0006,
406,0.0407,0.09613,2,0.0006,
407,0.04969,0.58714,2,0.0006,
408,0.04407,0.11987,2,0.0006,
409,0.04176,0.27605,2,0.0006,
410,0.04035,0.12024,2,0.0006,
411,0.04055,0.38519,2,0.0006,
412,0.04073,0.44169,2,0.0006,
413,0.03859,0.1164,2,0.0006,
414,0.0464,0.18453,2,0.0006,
415,0.04038,0.1252,2,0.0006,
416,0.04308,0.37266,2,0.0006,
417,0.04326,0.23907,2,0.0006,
418,0.04,0.1865,2,0.0006,
419,0.04096,0.41421,2,0.0006,
420,0.04709,0.16707,2,0.0006,
421,0.0404,0.09464,2,0.0006,
422,0.04407,0.19316,2,0.0006,
423,0.0421,0.14841,2,0.0006,
424,0.04077,0.55378,2,0.0006,
425,0.04096,0.08308,2,0.0006,
426,0.04021,0.25627,2,0.0006,
427,0.03899,0.09672,2,0.0006,
428,0.0382,0.09782,2,0.0006,
429,0.03787,0.51512,2,0.0006,
430,0.044,0.13869,2,0.0006,
431,0.04894,0.15644,2,0.0006,
432,0.04237,0.11503,2,0.0006,
433,0.04149,0.55893,2,0.0006,
434,0.03987,0.56156,2,0.0006,
435,0.03906,0.16927,2,0.0006,
436,0.04134,0.44386,2,0.0006,
437,0.04026,0.08217,2,0.0006,
438,0.04052,0.45305,2,0.0006,
439,0.03807,0.11493,2,0.0006,
440,0.03537,0.12483,2,0.0006,
441,0.04548,0.0995,2,0.0006,
442,0.04217,0.77792,2,0.0006,
443,0.04128,0.45947,2,0.0006,
444,0.04019,0.1046,2,0.0006,
445,0.04276,0.1082,1,0.0006,
446,0.04288,0.10025,1,0.0006,
447,0.03994,0.0955,1,0.0006,
448,0.03949,0.08327,1,0.0006,
449,0.04291,0.07597,1,0.0006,
450,0.03995,0.53275,1,0.0006,
451,0.04167,0.24524,1,0.0006,
452,0.04047,0.25112,1,0.0006,
453,0.03994,0.1844,1,0.0006,
454,0.04131,0.54562,1,0.0006,
455,0.0387,0.15407,1,0.0006,
456,0.03935,0.1118,1,0.0006,
457,0.03991,0.13254,1,0.0006,
458,0.04442,0.10956,1,0.0006,
459,0.04274,0.71599,1,0.0006,
460,0.04085,0.09019,1,0.0006,
461,0.0411,0.20963,1,0.0006,
462,0.0407,0.09871,1,0.0006,
463,0.03677,0.33402,1,0.0006,
464,0.03564,0.08325,1,0.0006,
465,0.0419,0.09111,1,0.0006,
466,0.0372,0.07865,1,0.0006,
467,0.03964,0.10547,1,0.0006,
468,0.04578,0.08466,1,0.0006,
469,0.04373,0.15753,1,0.0006,
470,0.04028,0.08948,1,0.0006,
471,0.04187,0.2618,1,0.0006,
472,0.03587,0.16447,1,0.0006,
473,0.03754,0.10752,1,0.0006,
474,0.03658,0.07939,1,0.0006,
475,0.03555,0.11504,1,0.0006,
476,0.04092,0.10075,1,0.0006,
477,0.04083,0.76956,1,0.0006,
478,0.03946,0.14259,1,0.0006,
479,0.03907,0.14015,1,0.0006,
480,0.04036,0.10379,1,0.0006,
481,0.0378,0.28304,1,0.0006,
482,0.03833,0.08447,1,0.0006,
483,0.03699,0.65483,1,0.0006,
484,0.03711,0.23519,1,0.0006,
485,0.04288,0.15611,1,0.0006,
486,0.04717,0.49473,1,0.0006,
487,0.04499,0.55083,1,0.0006,
488,0.04179,0.17356,1,0.0006,
489,0.04589,0.62701,1,0.0006,
490,0.04238,0.35956,1,0.0006,
491,0.04224,0.16661,1,0.0006,
492,0.03908,0.08639,1,0.0006,
493,0.03742,0.14472,1,0.0006,
494,0.04684,0.27944,1,0.0006,
495,0.04116,0.41325,1,0.0006,
496,0.03953,0.10884,1,0.0006,
497,0.0374,0.0891,1,0.0006,
498,0.03764,0.17796,1,0.0006,
499,0.04095,0.1111,1,0.0006,
500,0.03686,0.09512,1,0.0006,0.34285
501,0.05022,0.09305,2,0.0006,0.34285
502,0.04872,0.55547,2,0.0006,0.34285
503,0.04208,0.09793,2,0.0006,0.34285
504,0.03947,0.11984,2,0.0006,0.34285
505,0.04145,0.12141,2,0.0006,0.34285
506,0.03846,0.12581,2,0.0006,0.34285
507,0.03946,0.19008,2,0.0006,0.34285
508,0.0423,0.34362,2,0.0006,0.34285
509,0.0397,0.20569,2,0.0006,0.34285
510,0.04188,0.12642,2,0.0006,0.34285
511,0.04272,0.1407,2,0.0006,0.34285
512,0.04185,0.12025,2,0.0006,0.34285
513,0.04249,0.18604,2,0.0006,0.34285
514,0.03626,0.09503,2,0.0006,0.34285
515,0.04257,0.17786,2,0.0006,0.34285
516,0.03776,0.19111,2,0.0006,0.34285
517,0.0458,0.25757,2,0.0006,0.34285
518,0.04225,0.18402,2,0.0006,0.34285
519,0.04043,0.17744,2,0.0006,0.34285
520,0.04032,0.55182,2,0.0006,0.34285
521,0.03746,0.0888,2,0.0006,0.34285
522,0.04064,0.16292,2,0.0006,0.34285
523,0.03779,0.086,2,0.0006,0.34285
524,0.03652,0.15241,2,0.0006,0.34285
525,0.03755,0.2639,2,0.0006,0.34285
526,0.04083,0.18639,2,0.0006,0.34285
527,0.04512,0.09654,2,0.0006,0.34285
528,0.04464,0.17632,2,0.0006,0.34285
529,0.04054,0.15519,2,0.0006,0.34285
530,0.04093,0.0946,2,0.0006,0.34285
531,0.04495,0.15879,2,0.0006,0.34285
532,0.03855,0.1273,2,0.0006,0.34285
533,0.04128,0.6006,2,0.0006,0.34285
534,0.04035,0.11035,2,0.0006,0.34285
535,0.04076,0.1855,2,0.0006,0.34285
536,0.04717,0.08132,2,0.0006,0.34285
537,0.04072,0.10015,2,0.0006,0.34285
538,0.04044,0.9834,2,0.0006,0.34285
539,0.03862,0.08284,2,0.0006,0.34285
540,0.03806,0.12699,2,0.0006,0.34285
541,0.04232,0.54986,2,0.0006,0.34285
542,0.04473,0.36422,2,0.0006,0.34285
543,0.0414,0.1646,2,0.0006,0.34285
544,0.04001,0.17055,2,0.0006,0.34285
545,0.03877,0.39168,2,0.0006,0.34285
546,0.0391,0.08074,2,0.0006,0.34285
547,0.04111,0.08144,2,0.0006,0.34285
548,0.03796,0.06868,2,0.0006,0.34285
549,0.03861,0.10335,2,0.0006,0.34285
550,0.04264,0.13345,2,0.0006,0.34285
551,0.03493,0.28509,2,0.0006,0.34285
552,0.04132,0.11659,2,0.0006,0.34285
553,0.04227,0.2414,2,0.0006,0.34285
554,0.03843,0.13383,2,0.0006,0.34285
555,0.03754,0.11655,2,0.0006,0.34285
556,0.04178,0.32667,1,0.0006,0.34285
557,0.03991,0.07533,1,0.0006,0.34285
558,0.03942,0.25464,1,0.0006,0.34285
559,0.03969,0.19133,1,0.0006,0.34285
560,0.03884,0.59219,1,0.0006,0.34285
561,0.03895,0.19984,1,0.0006,0.34285
562,0.03598,0.23024,1,0.0006,0.34285
563,0.03801,0.52734,1,0.0006,0.34285
564,0.03837,0.29409,1,0.0006,0.34285
565,0.04043,0.08748,1,0.0006,0.34285
566,0.04094,0.08464,1,0.0006,0.34285
567,0.04056,1.11022,1,0.0006,0.34285
568,0.04074,0.09986,1,0.0006,0.34285
569,0.04443,0.58443,1,0.0006,0.34285
570,0.04204,0.08109,1,0.0006,0.34285
571,0.04116,0.10024,1,0.0006,0.34285
572,0.04414,0.07764,1,0.0006,0.34285
573,0.04262,1.0904,1,0.0006,0.34285
574,0.03671,0.07055,1,0.0006,0.34285
575,0.03547,0.07464,1,0.0006,0.34285
576,0.04014,0.14081,1,0.0006,0.34285
577,0.03676,0.21917,1,0.0006,0.34285
578,0.04077,0.07749,1,0.0006,0.34285
579,0.03957,0.09387,1,0.0006,0.34285
580,0.03895,0.14528,1,0.0006,0.34285
581,0.03875,0.14692,1,0.0006,0.34285
582,0.04028,0.0814,1,0.0006,0.34285
583,0.03507,0.08417,1,0.0006,0.34285
584,0.03696,0.08647,1,0.0006,0.34285
585,0.03538,0.0772,1,0.0006,0.34285
586,0.03505,0.70286,1,0.0006,0.34285
587,0.04054,0.20146,1,0.0006,0.34285
588,0.03686,0.0795,1,0.0006,0.34285
589,0.03546,0.14452,1,0.0006,0.34285
590,0.03731,0.31317,1,0.0006,0.34285
591,0.03536,0.07104,1,0.0006,0.34285
592,0.0354,0.59508,1,0.0006,0.34285
593,0.03394,0.16394,1,0.0006,0.34285
594,0.04229,0.14291,1,0.0006,0.34285
595,0.03507,0.38445,1,0.0006,0.34285
596,0.03633,0.07503,1,0.0006,0.34285
597,0.04437,0.14435,1,0.0006,0.34285
598,0.04188,0.08497,1,0.0006,0.34285
599,0.0427,0.14349,1,0.0006,0.34285
600,0.04358,0.13594,1,0.0006,0.34285
601,0.04356,0.09749,1,0.0006,0.34285
602,0.0417,0.08121,1,0.0006,0.34285
603,0.03951,0.09905,1,0.0006,0.34285
604,0.03686,0.13406,1,0.0006,0.34285
605,0.04414,0.65514,1,0.0006,0.34285
606,0.04108,0.14849,1,0.0006,0.34285
607,0.03711,0.11978,1,0.0006,0.34285
608,0.03665,1.03626,1,0.0006,0.34285
609,0.03764,0.08919,1,0.0006,0.34285
610,0.04198,0.11257,1,0.0006,0.34285
611,0.03626,0.15083,1,0.0006,0.34285
612,0.04322,0.33606,2,0.0006,0.34285
613,0.04606,0.08874,2,0.0006,0.34285
614,0.03752,0.23667,2,0.0006,0.34285
615,0.03782,0.455,2,0.0006,0.34285
616,0.04133,0.09526,2,0.0006,0.34285
617,0.03684,0.16869,2,0.0006,0.34285
618,0.03941,0.10933,2,0.0006,0.34285
619,0.03962,0.34067,2,0.0006,0.34285
620,0.03847,0.12397,2,0.0006,0.34285
621,0.04225,0.12337,2,0.0006,0.34285
622,0.04243,0.12173,2,0.0006,0.34285
623,0.04086,0.30993,2,0.0006,0.34285
624,0.03808,0.10743,2,0.0006,0.34285
625,0.03807,0.12195,2,0.0006,0.34285
626,0.03869,0.16854,2,0.0006,0.34285
627,0.03688,0.21246,2,0.0006,0.34285
628,0.04345,0.29059,2,0.0006,0.34285
629,0.0389,0.15735,2,0.0006,0.34285
630,0.03827,0.10693,2,0.0006,0.34285
631,0.04005,0.1799,2,0.0006,0.34285
632,0.03878,0.16138,2,0.0006,0.34285
633,0.04017,0.10685,2,0.0006,0.34285
634,0.03694,0.08176,2,0.0006,0.34285
635,0.03995,0.22568,2,0.0006,0.34285
636,0.03648,0.12871,2,0.0006,0.34285
637,0.04001,0.11432,2,0.0006,0.34285
638,0.04452,0.11904,2,0.0006,0.34285
639,0.04119,0.45664,2,0.0006,0.34285
640,0.03928,0.10336,2,0.0006,0.34285
641,0.03804,0.23117,2,0.0006,0.34285
642,0.04294,0.10053,2,0.0006,0.34285
643,0.0367,0.25238,2,0.0006,0.34285
644,0.04461,0.17498,2,0.0006,0.34285
645,0.0528,0.39192,2,0.0006,0.34285
646,0.03874,0.24008,2,0.0006,0.34285
647,0.0389,0.11286,2,0.0006,0.34285
648,0.03903,0.12019,2,0.0006,0.34285
649,0.0361,0.14996,2,0.0006,0.34285
650,0.0366,0.12373,2,0.0006,0.34285
651,0.03939,0.07357,2,0.0006,0.34285
652,0.04018,0.07108,2,0.0006,0.34285
653,0.04385,0.08578,2,0.0006,0.34285
654,0.04081,0.31216,2,0.0006,0.34285
655,0.04065,0.14733,2,0.0006,0.34285
656,0.03826,0.10194,2,0.0006,0.34285
657,0.04026,0.11414,2,0.0006,0.34285
658,0.03808,0.07201,2,0.0006,0.34285
659,0.03793,0.2345,2,0.0006,0.34285
660,0.03516,0.07213,2,0.0006,0.34285
661,0.03694,0.26216,2,0.0006,0.34285
662,0.0344,0.33379,2,0.0006,0.34285
