step,time,drone_x,drone_y,drone_z,beam_x,beam_y,beam_z,human_danger,mission_progress,free_energy,tau_factor,position_error
104,0.2080,-0.0004,0.0002,1.5471,2.0000,0.0000,3.9980,0.0000,0.3902,1.313684,1.0000,3.0490
105,0.2100,-0.0005,0.0002,1.5479,2.0000,0.0000,3.9979,0.0000,0.3902,1.313684,1.0000,3.0492
106,0.2120,-0.0005,0.0002,1.5487,2.0000,0.0000,3.9979,0.0000,0.3901,1.313684,1.0000,3.0493
107,0.2140,-0.0005,0.0002,1.5495,2.0000,0.0000,3.9979,0.0000,0.3901,1.313684,1.0000,3.0494
108,0.2160,-0.0005,0.0002,1.5503,2.0000,0.0000,3.9979,0.0000,0.3901,1.313684,1.0000,3.0495
109,0.2180,-0.0005,0.0002,1.5511,2.0000,0.0000,3.9979,0.0000,0.3901,1.313684,1.0000,3.0497
110,0.2200,-0.0006,0.0003,1.5519,2.0000,0.0000,3.9978,0.0000,0.3900,1.313684,1.0000,3.0498
111,0.2220,-0.0006,0.0003,1.5527,2.0000,0.0000,3.9978,0.0000,0.3900,1.313684,1.0000,3.0499
112,0.2240,-0.0006,0.0003,1.5535,2.0000,0.0000,3.9978,0.0000,0.3900,1.313684,1.0000,3.0501
113,0.2260,-0.0006,0.0003,1.5543,2.0000,0.0000,3.9978,0.0000,0.3900,1.313684,1.0000,3.0502
114,0.2280,-0.0006,0.0003,1.5552,2.0000,0.0000,3.9978,0.0000,0.3899,1.313684,1.0000,3.0503
115,0.2300,-0.0006,0.0003,1.5560,2.0000,0.0000,3.9977,0.0000,0.3899,1.313684,1.0000,3.0504
116,0.2320,-0.0007,0.0003,1.5568,2.0000,0.0000,3.9977,0.0000,0.3899,1.313684,1.0000,3.0506
117,0.2340,-0.0007,0.0003,1.5576,2.0000,0.0000,3.9977,0.0000,0.3899,1.313684,1.0000,3.0507
118,0.2360,-0.0007,0.0003,1.5585,2.0000,0.0000,3.9977,0.0000,0.3898,1.313684,1.0000,3.0508
119,0.2380,-0.0007,0.0003,1.5593,2.0000,0.0000,3.9977,0.0000,0.3898,1.313684,1.0000,3.0510
120,0.2400,-0.0008,0.0004,1.5601,2.0000,0.0000,3.9976,0.0000,0.3898,1.313684,1.0000,3.0511
121,0.2420,-0.0008,0.0004,1.5610,2.0000,0.0000,3.9976,0.0000,0.3898,1.299015,1.0000,3.0512
122,0.2440,-0.0008,0.0004,1.5618,2.0000,0.0000,3.9976,0.0000,0.3897,1.299015,1.0000,3.0514
123,0.2460,-0.0008,0.0004,1.5627,2.0000,0.0000,3.9976,0.0000,0.3897,1.299015,1.0000,3.0515
124,0.2480,-0.0009,0.0004,1.5635,2.0000,0.0000,3.9976,0.0000,0.3897,1.299015,1.0000,3.0516
125,0.2500,-0.0009,0.0004,1.5644,2.0000,0.0000,3.9975,0.0000,0.3896,1.299015,1.0000,3.0518
126,0.2520,-0.0009,0.0004,1.5652,2.0000,0.0000,3.9975,0.0000,0.3896,1.299015,1.0000,3.0519
127,0.2540,-0.0009,0.0004,1.5661,2.0000,0.0000,3.9975,0.0000,0.3896,1.299015,1.0000,3.0520
128,0.2560,-0.0010,0.0004,1.5670,2.0000,0.0000,3.9975,0.0000,0.3896,1.299015,1.0000,3.0522
129,0.2580,-0.0010,0.0005,1.5678,2.0000,0.0000,3.9975,0.0000,0.3895,1.299015,1.0000,3.0523
130,0.2600,-0.0010,0.0005,1.5687,2.0000,0.0000,3.9974,0.0000,0.3895,1.299015,1.0000,3.0524
131,0.2620,-0.0010,0.0005,1.5696,2.0000,0.0000,3.9974,0.0000,0.3895,1.299015,1.0000,3.0526
132,0.2640,-0.0011,0.0005,1.5704,2.0000,0.0000,3.9974,0.0000,0.3895,1.299015,1.0000,3.0527
133,0.2660,-0.0011,0.0005,1.5713,2.0000,0.0000,3.9974,0.0000,0.3894,1.299015,1.0000,3.0528
134,0.2680,-0.0011,0.0005,1.5722,2.0000,0.0000,3.9974,0.0000,0.3894,1.299015,1.0000,3.0530
135,0.2700,-0.0012,0.0005,1.5731,2.0000,0.0000,3.9974,0.0000,0.3894,1.299015,1.0000,3.0531
136,0.2720,-0.0012,0.0005,1.5739,2.0000,0.0000,3.9973,0.0000,0.3894,1.299015,1.0000,3.0532
137,0.2740,-0.0012,0.0006,1.5748,2.0000,0.0000,3.9973,0.0000,0.3893,1.299015,1.0000,3.0534
138,0.2760,-0.0013,0.0006,1.5757,2.0000,0.0000,3.9973,0.0000,0.3893,1.299015,1.0000,3.0535
139,0.2780,-0.0013,0.0006,1.5766,2.0000,0.0000,3.9973,0.0000,0.3893,1.299015,1.0000,3.0536
140,0.2800,-0.0013,0.0006,1.5775,2.0000,0.0000,3.9973,0.0000,0.3892,1.299015,1.0000,3.0538
141,0.2820,-0.0014,0.0006,1.5784,2.0000,0.0000,3.9972,0.0000,0.3892,1.288018,1.0000,3.0539
142,0.2840,-0.0014,0.0006,1.5793,2.0000,0.0000,3.9972,0.0000,0.3892,1.288018,1.0000,3.0540
143,0.2860,-0.0014,0.0007,1.5802,2.0000,0.0000,3.9972,0.0000,0.3892,1.288018,1.0000,3.0542
144,0.2880,-0.0015,0.0007,1.5811,2.0000,0.0000,3.9972,0.0000,0.3891,1.288018,1.0000,3.0543
145,0.2900,-0.0015,0.0007,1.5820,2.0000,0.0000,3.9972,0.0000,0.3891,1.288018,1.0000,3.0544
146,0.2920,-0.0016,0.0007,1.5829,2.0000,0.0000,3.9971,0.0000,0.3891,1.288018,1.0000,3.0546
147,0.2940,-0.0016,0.0007,1.5838,2.0000,0.0000,3.9971,0.0000,0.3891,1.288018,1.0000,3.0547
148,0.2960,-0.0016,0.0007,1.5847,2.0000,0.0000,3.9971,0.0000,0.3890,1.288018,1.0000,3.0548
149,0.2980,-0.0017,0.0008,1.5856,2.0000,0.0000,3.9971,0.0000,0.3890,1.288018,1.0000,3.0550
150,0.3000,-0.0017,0.0008,1.5865,2.0000,0.0000,3.9971,0.0000,0.3890,1.288018,1.0000,3.0551
151,0.3020,-0.0018,0.0008,1.5874,2.0000,0.0000,3.9970,0.0000,0.3890,1.288018,1.0000,3.0552
152,0.3040,-0.0018,0.0008,1.5883,2.0000,0.0000,3.9970,0.0000,0.3889,1.288018,1.0000,3.0554
153,0.3060,-0.0018,0.0008,1.5892,2.0000,0.0000,3.9970,0.0000,0.3889,1.288018,1.0000,3.0555
154,0.3080,-0.0019,0.0009,1.5901,2.0000,0.0000,3.9970,0.0000,0.3889,1.288018,1.0000,3.0556
155,0.3100,-0.0019,0.0009,1.5910,2.0000,0.0000,3.9970,0.0000,0.3888,1.288018,1.0000,3.0558
156,0.3120,-0.0020,0.0009,1.5919,2.0000,0.0000,3.9969,0.0000,0.3888,1.288018,1.0000,3.0559
157,0.3140,-0.0020,0.0009,1.5928,2.0000,0.0000,3.9969,0.0000,0.3888,1.288018,1.0000,3.0560
158,0.3160,-0.0021,0.0009,1.5938,2.0000,0.0000,3.9969,0.0000,0.3888,1.288018,1.0000,3.0562
159,0.3180,-0.0021,0.0010,1.5947,2.0000,0.0000,3.9969,0.0000,0.3887,1.288018,1.0000,3.0563
160,0.3200,-0.0022,0.0010,1.5956,2.0000,0.0000,3.9969,0.0000,0.3887,1.288018,1.0000,3.0564
161,0.3220,-0.0022,0.0010,1.5965,2.0000,0.0000,3.9968,0.0000,0.3887,1.279572,1.0000,3.0565
162,0.3240,-0.0023,0.0010,1.5974,2.0000,0.0000,3.9968,0.0000,0.3887,1.279572,1.0000,3.0567
163,0.3260,-0.0023,0.0010,1.5983,2.0000,0.0000,3.9968,0.0000,0.3886,1.279572,1.0000,3.0568
164,0.3280,-0.0024,0.0011,1.5993,2.0000,0.0000,3.9968,0.0000,0.3886,1.279572,1.0000,3.0569
165,0.3300,-0.0024,0.0011,1.6002,2.0000,0.0000,3.9968,0.0000,0.3886,1.279572,1.0000,3.0571
166,0.3320,-0.0025,0.0011,1.6011,2.0000,0.0000,3.9967,0.0000,0.3886,1.279572,1.0000,3.0572
167,0.3340,-0.0025,0.0011,1.6020,2.0000,0.0000,3.9967,0.0000,0.3885,1.279572,1.0000,3.0573
168,0.3360,-0.0026,0.0012,1.6029,2.0000,0.0000,3.9967,0.0000,0.3885,1.279572,1.0000,3.0574
169,0.3380,-0.0027,0.0012,1.6039,2.0000,0.0000,3.9967,0.0000,0.3885,1.279572,1.0000,3.0576
170,0.3400,-0.0027,0.0012,1.6048,2.0000,0.0000,3.9967,0.0000,0.3885,1.279572,1.0000,3.0577
171,0.3420,-0.0028,0.0012,1.6057,2.0000,0.0000,3.9966,0.0000,0.3884,1.279572,1.0000,3.0578
172,0.3440,-0.0028,0.0013,1.6066,2.0000,0.0000,3.9966,0.0000,0.3884,1.279572,1.0000,3.0579
173,0.3460,-0.0029,0.0013,1.6075,2.0000,0.0000,3.9966,0.0000,0.3884,1.279572,1.0000,3.0581
174,0.3480,-0.0030,0.0013,1.6084,2.0000,0.0000,3.9966,0.0000,0.3884,1.279572,1.0000,3.0582
175,0.3500,-0.0030,0.0013,1.6094,2.0000,0.0000,3.9966,0.0000,0.3883,1.279572,1.0000,3.0583
176,0.3520,-0.0031,0.0014,1.6103,2.0000,0.0000,3.9965,0.0000,0.3883,1.279572,1.0000,3.0584
177,0.3540,-0.0031,0.0014,1.6112,2.0000,0.0000,3.9965,0.0000,0.3883,1.279572,1.0000,3.0586
178,0.3560,-0.0032,0.0014,1.6121,2.0000,0.0000,3.9965,0.0000,0.3883,1.279572,1.0000,3.0587
179,0.3580,-0.0033,0.0014,1.6130,2.0000,0.0000,3.9965,0.0000,0.3882,1.279572,1.0000,3.0588
180,0.3600,-0.0033,0.0015,1.6140,2.0000,0.0000,3.9965,0.0000,0.3882,1.279572,1.0000,3.0589
181,0.3620,-0.0034,0.0015,1.6149,2.0000,0.0000,3.9964,0.0000,0.3882,1.272440,1.0000,3.0590
182,0.3640,-0.0035,0.0015,1.6158,2.0000,0.0000,3.9964,0.0000,0.3882,1.272440,1.0000,3.0591
183,0.3660,-0.0035,0.0016,1.6167,2.0000,0.0000,3.9964,0.0000,0.3881,1.272440,1.0000,3.0593
184,0.3680,-0.0036,0.0016,1.6176,2.0000,0.0000,3.9964,0.0000,0.3881,1.272440,1.0000,3.0594
185,0.3700,-0.0037,0.0016,1.6185,2.0000,0.0000,3.9964,0.0000,0.3881,1.272440,1.0000,3.0595
186,0.3720,-0.0038,0.0017,1.6195,2.0000,0.0000,3.9964,0.0000,0.3881,1.272440,1.0000,3.0596
187,0.3740,-0.0038,0.0017,1.6204,2.0000,0.0000,3.9963,0.0000,0.3881,1.272440,1.0000,3.0597
188,0.3760,-0.0039,0.0017,1.6213,2.0000,0.0000,3.9963,0.0000,0.3880,1.272440,1.0000,3.0598
189,0.3780,-0.0040,0.0018,1.6222,2.0000,0.0000,3.9963,0.0000,0.3880,1.272440,1.0000,3.0599
190,0.3800,-0.0041,0.0018,1.6231,2.0000,0.0000,3.9963,0.0000,0.3880,1.272440,1.0000,3.0601
191,0.3820,-0.0041,0.0018,1.6240,2.0000,0.0000,3.9963,0.0000,0.3880,1.272440,1.0000,3.0602
192,0.3840,-0.0042,0.0019,1.6249,2.0000,0.0000,3.9962,0.0000,0.3879,1.272440,1.0000,3.0603
193,0.3860,-0.0043,0.0019,1.6258,2.0000,0.0000,3.9962,0.0000,0.3879,1.272440,1.0000,3.0604
194,0.3880,-0.0044,0.0019,1.6268,2.0000,0.0000,3.9962,0.0000,0.3879,1.272440,1.0000,3.0605
195,0.3900,-0.0045,0.0020,1.6277,2.0000,0.0000,3.9962,0.0000,0.3879,1.272440,1.0000,3.0606
196,0.3920,-0.0045,0.0020,1.6286,2.0000,0.0000,3.9962,0.0000,0.3879,1.272440,1.0000,3.0607
197,0.3940,-0.0046,0.0020,1.6295,2.0000,0.0000,3.9961,0.0000,0.3878,1.272440,1.0000,3.0608
198,0.3960,-0.0047,0.0021,1.6304,2.0000,0.0000,3.9961,0.0000,0.3878,1.272440,1.0000,3.0609
199,0.3980,-0.0048,0.0021,1.6313,2.0000,0.0000,3.9961,0.0000,0.3878,1.272440,1.0000,3.0610
